id,name,favorite_quote,times_called,times_present,times_absent,times_excused,last_called_date
1,John Smith,The only way to do great work is to love what you do.,2,2,0,0,2025-03-25
2,Emma Johnson,Believe you can and you're halfway there.,1,1,0,0,2025-03-20
3,Michael Brown,Success is not final; failure is not fatal: It is the courage to continue that counts.,0,0,0,0,
4,Sophia Williams,Your time is limited so don't waste it living someone else's life.,3,2,1,0,2025-03-27
5,James Jones,The future belongs to those who believe in the beauty of their dreams.,1,0,0,1,2025-03-15
6,Olivia Davis,It does not matter how slowly you go as long as you do not stop.,0,0,0,0,
7,Robert Miller,The only limit to our realization of tomorrow is our doubts of today.,5,2,2,1,2025-03-30
8,Ava Wilson,Strive not to be a success but rather to be of value.,1,1,0,0,2025-03-18
9,William Taylor,Don't watch the clock; do what it does. Keep going.,3,1,1,1,2025-03-30
10,Isabella Anderson,The best way to predict the future is to create it.,3,3,0,0,2025-03-30
